sequence,protein,rt,mz,charge,intensity,q_value,tmt_snr,priority,unique
PEPTIDE001,MAPK1,22.000,410.0000,2,56350,0.025,8.00,3,false
PEPTIDE002,AKT1,64.798,457.1700,3,80250,0.003,9.70,1,true
PEPTIDE003,TP53,84.989,504.3400,4,115245,0.003,11.40,1,true
PEPTIDE004,HSP90AA1,118.143,551.5100,2,161810,0.003,13.10,1,true
PEPTIDE005,GAPDH,29.924,598.6800,3,220496,0.003,14.80,1,true
PEPTIDE006,EEF2,72.778,645.0000,4,292563,0.003,16.50,1,true
PEPTIDE007,RPLP0,89.940,692.1700,2,379037,0.003,18.20,1,false
PEPTIDE008,VIM,120.163,739.3400,3,481102,0.008,19.90,2,true
PEPTIDE009,MAPK1,33.325,786.5100,4,600069,0.003,21.60,1,true
PEPTIDE010,AKT1,74.536,833.6800,2,737313,0.025,23.30,1,true
PEPTIDE011,TP53,87.526,880.0000,3,894256,0.003,25.00,1,true
PEPTIDE012,HSP90AA1,116.189,927.1700,4,1072447,0.003,26.70,1,true
PEPTIDE013,GAPDH,31.082,974.3400,2,1273541,0.003,28.40,1,false
PEPTIDE014,EEF2,70.828,1021.5100,3,1499207,0.025,30.10,1,true
PEPTIDE015,RPLP0,83.593,1068.6800,4,1751037,0.008,31.80,2,true
PEPTIDE016,VIM,111.549,1115.0000,2,2030563,0.003,33.50,1,true
PEPTIDE017,MAPK1,24.545,1162.1700,3,2339274,0.003,35.20,1,true
PEPTIDE018,AKT1,63.668,410.3400,4,56350,0.003,36.90,3,true
PEPTIDE019,TP53,83.891,457.5100,2,80250,0.003,38.60,1,false
PEPTIDE020,HSP90AA1,117.282,504.6800,3,115245,0.003,40.30,1,true
PEPTIDE021,GAPDH,29.430,551.0000,4,161810,0.003,42.00,1,true
PEPTIDE022,EEF2,72.583,598.1700,2,220496,0.008,8.00,2,true
PEPTIDE023,RPLP0,90.010,645.3400,3,292563,0.003,9.70,1,true
PEPTIDE024,VIM,120.339,692.5100,4,379037,0.003,11.40,1,true
PEPTIDE025,MAPK1,33.372,739.6800,2,481102,0.003,13.10,1,false
PEPTIDE026,AKT1,74.256,786.0000,3,600069,0.003,14.80,1,true
PEPTIDE027,TP53,86.871,833.1700,4,737313,0.025,16.50,1,true
PEPTIDE028,HSP90AA1,115.195,880.3400,2,894256,0.003,18.20,1,true
PEPTIDE029,GAPDH,29.818,927.5100,3,1072447,0.008,19.90,2,true
PEPTIDE030,EEF2,69.417,974.6800,4,1273541,0.003,21.60,1,true
PEPTIDE031,RPLP0,81.987,1021.0000,2,1499207,0.003,23.30,1,false
PEPTIDE032,VIM,109.880,1068.1700,3,1751037,0.003,25.00,1,true
PEPTIDE033,MAPK1,23.008,1115.3400,4,2030563,0.003,26.70,3,true
PEPTIDE034,AKT1,62.306,1162.5100,2,2339274,0.003,28.40,1,true
PEPTIDE035,TP53,82.771,410.6800,3,56350,0.003,30.10,1,true
PEPTIDE036,HSP90AA1,116.359,457.0000,4,80250,0.008,31.80,2,true
PEPTIDE037,GAPDH,29.761,504.1700,2,115245,0.003,33.50,1,false
PEPTIDE038,EEF2,69.700,551.3400,3,161810,0.003,35.20,1,true
PEPTIDE039,RPLP0,82.692,598.5100,4,220496,0.003,36.90,1,true
PEPTIDE040,VIM,111.007,645.6800,2,292563,0.025,38.60,1,true
